Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
PVT CHAT,2020,09 Feb 2021,86 min,Drama,,61.0,5.9,"1,644",tt8110004,,,,,
Music,2021,12 Feb 2021,107 min,"Drama, Musical",4 wins & 3 nominations,23.0,3.2,"8,356",tt7541720,,en,2021-01-14,16000000.0,645949.0
Judas and the Black Messiah,2021,12 Feb 2021,126 min,"Biography, Drama, History",Won 2 Oscars. 45 wins & 81 nominations total,85.0,7.4,"84,500",tt9784798,"$5,478,009",en,2021-02-12,26000000.0,6416063.0
The Mauritanian,2021,02 Mar 2021,129 min,"Biography, Drama, Thriller",Nominated for 5 BAFTA 5 wins & 18 nominations total,53.0,7.4,"53,878",tt4761112,"$836,536",en,2021-02-10,0.0,0.0
Breaking News in Yuba County,2021,12 Feb 2021,96 min,"Comedy, Drama, Thriller",,24.0,5.8,"6,528",tt7737640,,en,2021-01-28,0.0,0.0
Barb and Star Go to Vista Del Mar,2021,12 Feb 2021,107 min,Comedy,3 wins & 20 nominations,64.0,6.3,"18,586",tt3797512,,,,,
Minari,2020,12 Feb 2021,115 min,Drama,Won 1 Oscar. 121 wins & 249 nominations total,89.0,7.4,"85,385",tt10633456,"$3,110,580",en,2021-02-12,2000000.0,12886100.0
To All the Boys: Always and Forever,2021,12 Feb 2021,109 min,"Comedy, Drama, Romance",2 wins & 2 nominations,65.0,6.3,"28,423",tt10676012,,en,2021-02-12,0.0,0.0
The World to Come,2020,02 Mar 2021,105 min,"Drama, History, Romance",6 wins & 11 nominations,73.0,6.3,"8,915",tt9738716,"$116,143",en,2021-02-12,0.0,0.0
French Exit,2020,12 Feb 2021,113 min,"Comedy, Drama",2 wins & 7 nominations,56.0,5.9,"7,861",tt10279362,"$741,895",en,2021-02-12,0.0,0.0
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61.0,6.6,"12,179",tt10265034,"$2,577,830",en,2021-02-12,0.0,2375190.0
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61.0,6.6,"12,179",tt10265034,"$2,577,830",en,2018-04-25,0.0,0.0
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61.0,6.6,"12,179",tt10265034,"$2,577,830",en,2018-04-25,0.0,0.0
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61.0,6.6,"12,179",tt10265034,"$2,577,830",en,2019-07-04,0.0,0.0
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61.0,6.6,"12,179",tt10265034,"$2,577,830",el,2019-01-01,0.0,0.0
Land,2021,12 Feb 2021,89 min,"Adventure, Drama",4 wins & 2 nominations,61.0,6.6,"12,179",tt10265034,"$2,577,830",de,2021-08-26,0.0,0.0
Willy's Wonderland,2021,12 Feb 2021,88 min,"Action, Comedy, Horror",2 nominations,44.0,5.5,"32,028",tt8114980,"$418,286",en,2021-02-12,5000000.0,431020.0
The Map of Tiny Perfect Things,2021,12 Feb 2021,98 min,"Comedy, Fantasy, Romance",1 nomination,61.0,6.8,"24,226",tt11080108,,en,2021-02-12,0.0,0.0
Fear of Rain,2021,12 Feb 2021,109 min,"Drama, Horror, Thriller",1 nomination,,5.9,"8,544",tt10037014,,en,2021-02-12,0.0,0.0
I Care a Lot,2020,19 Feb 2021,118 min,"Comedy, Crime, Drama",1 win & 6 nominations,66.0,6.3,"136,431",tt9893250,,en,2021-02-19,0.0,0.0
Flora,1989,01 Nov 2006,1 min,"Animation, Short, Drama",,,6.5,"1,319",tt0169912,,en,2019-03-11,0.0,0.0
Flora,1989,01 Nov 2006,1 min,"Animation, Short, Drama",,,6.5,"1,319",tt0169912,,en,2020-12-06,4500.0,0.0
Flora,1989,01 Nov 2006,1 min,"Animation, Short, Drama",,,6.5,"1,319",tt0169912,,en,2018-06-16,0.0,0.0
Flora,1989,01 Nov 2006,1 min,"Animation, Short, Drama",,,6.5,"1,319",tt0169912,,es,2018-12-01,0.0,0.0
Flora,1989,01 Nov 2006,1 min,"Animation, Short, Drama",,,6.5,"1,319",tt0169912,,es,2020-08-21,0.0,0.0
Silk Road,2021,19 Feb 2021,112 min,"Crime, Drama, Thriller",,41.0,6.0,"6,070",tt7937254,,en,2021-02-19,5900000.0,0.0
The United States vs. Billie Holiday,2021,26 Feb 2021,126 min,"Biography, Drama, Music",Nominated for 1 Oscar. 11 wins & 25 nominations total,52.0,6.3,"13,816",tt8521718,,en,2021-03-31,0.0,0.0
Cherry,2021,12 Mar 2021,142 min,"Biography, Crime, Drama",3 wins & 4 nominations,44.0,6.6,"33,931",tt9130508,,en,2021-02-26,40000000.0,0.0
Cherry,2021,12 Mar 2021,142 min,"Biography, Crime, Drama",3 wins & 4 nominations,44.0,6.6,"33,931",tt9130508,,en,2022-06-13,0.0,0.0
Cherry,2021,12 Mar 2021,142 min,"Biography, Crime, Drama",3 wins & 4 nominations,44.0,6.6,"33,931",tt9130508,,en,2019-09-06,0.0,0.0
Cherry,2021,12 Mar 2021,142 min,"Biography, Crime, Drama",3 wins & 4 nominations,44.0,6.6,"33,931",tt9130508,,en,2018-03-08,2000.0,0.0
Cherry,2021,12 Mar 2021,142 min,"Biography, Crime, Drama",3 wins & 4 nominations,44.0,6.6,"33,931",tt9130508,,en,2018-05-05,0.0,0.0
Crisis,2021,26 Feb 2021,118 min,"Drama, Thriller",1 nomination,41.0,6.2,"11,926",tt9731682,"$404,738",en,2021-02-26,0.0,0.0
Crisis,2021,26 Feb 2021,118 min,"Drama, Thriller",1 nomination,41.0,6.2,"11,926",tt9731682,"$404,738",es,2020-08-19,0.0,0.0
Crisis,2021,26 Feb 2021,118 min,"Drama, Thriller",1 nomination,41.0,6.2,"11,926",tt9731682,"$404,738",en,2021-11-01,0.0,0.0
Crisis,2021,26 Feb 2021,118 min,"Drama, Thriller",1 nomination,41.0,6.2,"11,926",tt9731682,"$404,738",es,2020-08-19,0.0,0.0
Crisis,2021,26 Feb 2021,118 min,"Drama, Thriller",1 nomination,41.0,6.2,"11,926",tt9731682,"$404,738",pt,2021-03-29,0.0,0.0
Billie Eilish: The World's a Little Blurry,2021,26 Feb 2021,140 min,"Documentary, Biography, Music",Nominated for 4 Primetime Emmys. 18 nominations total,70.0,7.7,"8,218",tt11459366,,en,2021-02-26,0.0,0.0
The Vigil,2019,26 Feb 2021,89 min,"Horror, Mystery, Thriller",3 nominations,69.0,5.8,"8,672",tt10793644,"$50,439",en,2020-07-01,0.0,742476.0
Moxie,2021,03 Mar 2021,111 min,"Comedy, Drama, Music",,54.0,6.7,"26,649",tt6432466,,en,2021-03-03,0.0,0.0
Coming 2 America,2021,05 Mar 2021,110 min,Comedy,Nominated for 1 Oscar. 6 wins & 11 nominations total,52.0,5.3,"71,920",tt6802400,,en,2021-03-04,60000000.0,0.0
The SpongeBob Movie: Sponge on the Run,2020,04 Mar 2021,91 min,"Animation, Adventure, Comedy",3 nominations,65.0,5.9,"19,473",tt4823776,"$4,810,790",en,2020-08-14,60000000.0,4700000.0
Raya and the Last Dragon,2021,05 Mar 2021,107 min,"Animation, Action, Adventure",Nominated for 1 Oscar. 13 wins & 59 nominations total,74.0,7.3,"157,092",tt5109280,"$54,723,032",en,2021-03-03,100000000.0,130423032.0
Chaos Walking,2021,05 Mar 2021,109 min,"Action, Adventure, Fantasy",2 wins,38.0,5.7,"51,323",tt2076822,"$13,287,908",en,2021-02-24,125000000.0,26508132.0
Boss Level,2020,05 Mar 2021,100 min,"Action, Adventure, Comedy",,56.0,6.8,"71,436",tt7638348,,en,2021-02-19,45000000.0,2000000.0
Boogie,2021,05 Mar 2021,90 min,"Drama, Sport",,54.0,5.2,"2,292",tt10896398,"$4,178,620",en,2021-03-05,20000000.0,0.0
Yes Day,2021,12 Mar 2021,86 min,"Comedy, Family",2 nominations,46.0,5.7,"26,723",tt8521876,,en,2021-03-12,0.0,0.0
Long Weekend,1978,29 Mar 1979,97 min,"Horror, Mystery, Thriller",5 wins & 1 nomination,61.0,6.6,"5,606",tt0079482,,en,2021-03-12,0.0,0.0
Cosmic Sin,2021,12 Mar 2021,88 min,"Action, Sci-Fi",1 nomination,9.0,2.5,"14,018",tt11762434,,en,2021-03-12,20000000.0,349757.0
Trust,2010,28 Apr 2011,106 min,"Crime, Drama, Thriller",1 win & 3 nominations,60.0,6.9,"43,069",tt1529572,"$120,016",en,2021-03-12,0.0,0.0
Trust,2010,28 Apr 2011,106 min,"Crime, Drama, Thriller",1 win & 3 nominations,60.0,6.9,"43,069",tt1529572,"$120,016",en,2018-01-01,0.0,0.0
Trust,2010,28 Apr 2011,106 min,"Crime, Drama, Thriller",1 win & 3 nominations,60.0,6.9,"43,069",tt1529572,"$120,016",en,2018-01-01,0.0,0.0
Zack Snyder's Justice League,2021,18 Mar 2021,242 min,"Action, Adventure, Fantasy",5 wins & 6 nominations,54.0,8.0,"407,353",tt12361974,,en,2021-03-18,70000000.0,657900000.0
The Courier,2020,19 Mar 2021,112 min,"Drama, History, Thriller",1 nomination,65.0,7.2,"65,279",tt8368512,"$6,613,432",en,2020-01-24,0.0,26000000.0
The Courier,2020,19 Mar 2021,112 min,"Drama, History, Thriller",1 nomination,65.0,7.2,"65,279",tt8368512,"$6,613,432",en,2019-11-22,0.0,4700862.0
The Courier,2020,19 Mar 2021,112 min,"Drama, History, Thriller",1 nomination,65.0,7.2,"65,279",tt8368512,"$6,613,432",en,2022-04-28,0.0,0.0
City of Lies,2018,19 Mar 2021,112 min,"Biography, Crime, Drama",,44.0,6.5,"16,528",tt2677722,"$572,493",en,2018-09-06,0.0,2534122.0
Happily,2021,19 Mar 2021,96 min,"Comedy, Crime, Romance",1 nomination,58.0,5.3,"4,040",tt9849004,,en,2021-03-19,0.0,0.0
Nobody,2021,26 Mar 2021,92 min,"Action, Crime, Drama",5 wins & 18 nominations,64.0,7.4,"270,746",tt7888964,"$27,568,035",en,2021-03-18,17000000.0,61779301.0
Nobody,2021,26 Mar 2021,92 min,"Action, Crime, Drama",5 wins & 18 nominations,64.0,7.4,"270,746",tt7888964,"$27,568,035",zh,2020-10-28,0.0,0.0
Bad Trip,2021,26 Mar 2021,86 min,Comedy,1 nomination,61.0,6.5,"25,715",tt9684220,,en,2021-03-26,0.0,0.0
The Seventh Day,2021,26 Mar 2021,87 min,"Horror, Mystery",1 nomination,43.0,4.5,"4,953",tt11263022,,en,2021-03-26,0.0,0.0
Senior Moment,2021,26 Mar 2021,92 min,"Comedy, Drama, Romance",,41.0,5.7,"2,042",tt6588950,"$41,598",en,2021-03-26,0.0,0.0
Godzilla vs. Kong,2021,31 Mar 2021,113 min,"Action, Sci-Fi, Thriller",3 wins & 19 nominations,59.0,6.3,"216,800",tt5034838,"$100,916,094",en,2021-03-24,200000000.0,470116094.0
Concrete Cowboy,2020,02 Apr 2021,111 min,"Drama, Western",1 win & 3 nominations,67.0,6.3,"9,157",tt8846176,,en,2020-09-13,0.0,0.0
The Unholy,2021,02 Apr 2021,99 min,"Drama, Horror, Mystery",1 nomination,36.0,5.1,"23,882",tt9419056,"$15,532,137",en,2021-03-31,10000000.0,30833138.0
Every Breath You Take,2021,02 Apr 2021,105 min,"Drama, Mystery, Thriller",,32.0,5.3,"6,027",tt2231874,,en,2021-04-02,0.0,0.0
Shiva Baby,2020,02 Apr 2021,77 min,"Comedy, Drama",11 wins & 44 nominations,79.0,7.1,"24,371",tt11317142,"$159,294",en,2021-04-02,250000.0,31014.0
Shiva Baby,2020,02 Apr 2021,77 min,"Comedy, Drama",11 wins & 44 nominations,79.0,7.1,"24,371",tt11317142,"$159,294",en,2018-03-15,0.0,0.0
The Girl Who Believes in Miracles,2021,02 Apr 2021,100 min,"Drama, Family",,,5.4,"1,077",tt9098454,"$3,163,362",en,2021-04-02,0.0,0.0
The Believer,2001,23 Aug 2001,98 min,Drama,6 wins & 10 nominations,75.0,7.1,"39,454",tt0247199,"$416,925",en,2021-04-02,0.0,0.0
The Believer,2001,23 Aug 2001,98 min,Drama,6 wins & 10 nominations,75.0,7.1,"39,454",tt0247199,"$416,925",en,2021-04-02,0.0,0.0
The Believer,2001,23 Aug 2001,98 min,Drama,6 wins & 10 nominations,75.0,7.1,"39,454",tt0247199,"$416,925",en,2021-08-14,0.0,0.0
Dawn of the Beast,2021,02 Apr 2021,82 min,"Horror, Mystery",,,4.1,899,tt13430932,,en,2021-04-06,0.0,0.0
Dawn of the Beast,2021,02 Apr 2021,82 min,"Horror, Mystery",,,4.1,899,tt13430932,,en,2021-04-06,0.0,0.0
Dawn of the Beast,2021,02 Apr 2021,82 min,"Horror, Mystery",,,4.1,899,tt13430932,,en,2021-04-06,0.0,0.0
Voyagers,2021,09 Apr 2021,108 min,"Adventure, Sci-Fi, Thriller",,44.0,5.4,"23,324",tt9664108,"$3,149,935",en,2021-04-08,20000000.0,4298184.0
Thunder Force,2021,09 Apr 2021,106 min,"Action, Adventure, Comedy",1 nomination,34.0,4.5,"43,318",tt10121392,,en,2021-04-09,0.0,0.0
Arlo the Alligator Boy,2021,16 Apr 2021,90 min,"Animation, Adventure, Comedy",6 nominations,,6.4,"1,185",tt13454122,,en,2021-04-16,0.0,0.0
Monday,2020,16 Apr 2021,116 min,"Drama, Romance",1 win & 12 nominations,58.0,5.8,"4,766",tt8884906,"$30,932",en,2020-09-11,0.0,0.0
Monday,2020,16 Apr 2021,116 min,"Drama, Romance",1 win & 12 nominations,58.0,5.8,"4,766",tt8884906,"$30,932",en,2021-10-11,0.0,0.0
Monday,2020,16 Apr 2021,116 min,"Drama, Romance",1 win & 12 nominations,58.0,5.8,"4,766",tt8884906,"$30,932",en,2018-03-12,0.0,0.0
Monday,2020,16 Apr 2021,116 min,"Drama, Romance",1 win & 12 nominations,58.0,5.8,"4,766",tt8884906,"$30,932",en,2021-10-18,100.0,0.0
In the Earth,2021,16 Apr 2021,107 min,"Horror, Mystery, Thriller",1 win & 9 nominations,63.0,5.2,"9,319",tt13429362,"$1,113,723",en,2021-04-16,0.0,0.0
Stowaway,2021,22 Apr 2021,116 min,"Adventure, Sci-Fi, Thriller",,63.0,5.6,"48,200",tt9203694,,en,2021-06-24,10000000.0,0.0
Stowaway,2021,22 Apr 2021,116 min,"Adventure, Sci-Fi, Thriller",,63.0,5.6,"48,200",tt9203694,,en,2021-10-28,0.0,0.0
Mortal Kombat,2021,23 Apr 2021,110 min,"Action, Adventure, Fantasy",4 wins & 10 nominations,44.0,6.0,"178,959",tt0293429,"$42,326,031",en,2021-04-07,20000000.0,84426031.0
The Mitchells vs the Machines,2021,30 Apr 2021,114 min,"Animation, Adventure, Comedy",Nominated for 1 Oscar. 46 wins & 58 nominations total,81.0,7.6,"114,198",tt7979580,,,,,
Vanquish,2021,16 Apr 2021,94 min,"Action, Thriller",1 win & 2 nominations,22.0,2.9,"4,644",tt5932368,,en,2021-04-16,0.0,0.0
Together Together,2021,23 Apr 2021,90 min,"Comedy, Drama",2 wins & 8 nominations,70.0,6.4,"8,218",tt11285280,"$1,437,938",en,2021-04-23,0.0,0.0
We Broke Up,2021,23 Apr 2021,80 min,"Comedy, Drama",1 nomination,53.0,5.1,"1,281",tt11867884,"$15,063",en,2021-04-23,0.0,0.0
We Broke Up,2021,23 Apr 2021,80 min,"Comedy, Drama",1 nomination,53.0,5.1,"1,281",tt11867884,"$15,063",en,2021-04-23,0.0,0.0
We Broke Up,2021,23 Apr 2021,80 min,"Comedy, Drama",1 nomination,53.0,5.1,"1,281",tt11867884,"$15,063",en,2021-04-23,0.0,0.0
The Deep Ones,2020,19 Sep 2020,83 min,"Horror, Sci-Fi",5 wins,,4.1,727,tt11548850,,en,2021-04-23,500000.0,0.0
Things Heard & Seen,2021,29 Apr 2021,121 min,"Drama, Horror, Mystery",1 win,49.0,5.3,"33,093",tt10962368,,en,2021-04-29,0.0,0.0
Without Remorse,2021,30 Apr 2021,109 min,"Action, Thriller, War",1 nomination,41.0,5.8,"60,442",tt0499097,,,,,
The Virtuoso,2021,30 Apr 2021,110 min,"Action, Thriller",,24.0,4.9,"8,312",tt4136456,,en,2021-04-30,0.0,0.0
Four Good Days,2020,21 May 2021,100 min,Drama,Nominated for 1 Oscar. 3 nominations total,52.0,6.5,"9,358",tt10344522,"$837,849",en,2021-04-30,0.0,843965.0
Separation,2021,30 Apr 2021,107 min,"Drama, Horror, Mystery",1 nomination,,4.7,"4,260",tt9173154,"$4,509,143",en,2021-04-30,0.0,0.0
Separation,2021,30 Apr 2021,107 min,"Drama, Horror, Mystery",1 nomination,,4.7,"4,260",tt9173154,"$4,509,143",en,2020-05-22,0.0,0.0
Wrath of Man,2021,07 May 2021,119 min,"Action, Crime, Thriller",1 nomination,57.0,7.1,"186,226",tt11083552,"$27,466,489",en,2021-04-22,40000000.0,103966489.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",en,2021-07-15,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",en,2018-06-29,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",ml,2022-10-21,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",ta,2019-05-17,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",en,2019-10-17,3200.0,10000.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",en,2020-07-29,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",zh,2018-09-19,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",ro,2020-08-23,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",hi,2020-08-12,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",es,2020-12-01,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",zh,2021-07-25,0.0,0.0
Monster,2003,30 Jan 2004,109 min,"Biography, Crime, Drama",Won 1 Oscar. 30 wins & 26 nominations total,74.0,7.3,"154,612",tt0340855,"$34,469,210",en,2019-08-12,4500.0,0.0
The Paper Tigers,2020,07 May 2021,108 min,"Action, Comedy",3 wins & 3 nominations,67.0,6.3,"4,899",tt6060444,"$112,691",en,2020-08-30,0.0,0.0
Mainstream,2020,07 May 2021,94 min,"Comedy, Drama",1 win & 2 nominations,36.0,5.0,"4,792",tt9224288,"$35,696",en,2021-05-07,5000000.0,0.0
The Water Man,2020,07 May 2021,91 min,"Adventure, Drama, Family",1 win & 2 nominations,68.0,5.5,"4,214",tt4779326,"$383,234",en,2020-09-13,0.0,0.0
Here Today,2021,07 May 2021,117 min,"Comedy, Drama, Music",,40.0,6.7,"5,022",tt10944596,"$2,807,494",en,2021-05-07,0.0,0.0
Above Suspicion,2019,07 May 2021,104 min,"Action, Biography, Crime",,46.0,5.7,"6,821",tt5688068,,en,2019-06-20,0.0,21712.0
Reboot Camp,2020,04 May 2021,97 min,Comedy,7 wins,,4.7,"1,842",tt11111286,,en,2020-10-22,0.0,0.0
Benny Loves You,2019,15 Feb 2021,94 min,"Comedy, Fantasy, Horror",3 wins & 4 nominations,,5.6,"2,513",tt3917506,,en,2019-11-21,10000.0,0.0
Oxygen,2021,12 May 2021,100 min,"Drama, Fantasy, Sci-Fi",1 nomination,67.0,6.5,"40,634",tt6341832,,fr,2021-05-12,0.0,0.0
Oxygen,2021,12 May 2021,100 min,"Drama, Fantasy, Sci-Fi",1 nomination,67.0,6.5,"40,634",tt6341832,,en,2020-04-13,6800.0,0.0
Oxygen,2021,12 May 2021,100 min,"Drama, Fantasy, Sci-Fi",1 nomination,67.0,6.5,"40,634",tt6341832,,gu,2018-05-11,0.0,0.0
Army of the Dead,2021,21 May 2021,148 min,"Action, Crime, Drama",1 win & 4 nominations,57.0,5.7,"176,911",tt0993840,,en,2021-05-14,0.0,780000.0
Those Who Wish Me Dead,2021,14 May 2021,100 min,"Action, Drama, Thriller",,59.0,6.0,"64,296",tt3215824,"$7,407,200",en,2021-05-05,20000000.0,23384502.0
The Woman in the Window,2020,14 May 2021,100 min,"Crime, Drama, Mystery",6 nominations,41.0,5.7,"77,990",tt6111574,,en,2021-05-14,4000000.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2019-07-14,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2018-06-22,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2021-09-15,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2018-06-22,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2021-09-15,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2018-10-16,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",sv,2018-01-28,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",sv,2021-02-03,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2018-10-16,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",sv,2018-01-28,0.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",en,2019-06-01,80000.0,0.0
Spiral,2021,14 May 2021,93 min,"Crime, Horror, Mystery",1 nomination,40.0,5.2,"56,524",tt10342730,"$23,216,862",tr,2020-06-01,0.0,0.0
Georgetown,2019,14 May 2021,99 min,"Biography, Crime, Drama",,49.0,6.2,"4,577",tt4669252,,en,2019-05-14,0.0,0.0
Finding You,2020,14 May 2021,119 min,"Drama, Romance",1 nomination,41.0,6.4,"5,798",tt8760280,"$2,753,985",en,2021-05-13,0.0,3300000.0
Finding You,2020,14 May 2021,119 min,"Drama, Romance",1 nomination,41.0,6.4,"5,798",tt8760280,"$2,753,985",tl,2019-05-29,0.0,0.0
The Killing of Two Lovers,2020,14 May 2021,85 min,Drama,1 win & 12 nominations,82.0,6.9,"4,600",tt10702148,"$71,162",en,2021-02-23,0.0,0.0
616 Wilford Lane,2021,18 May 2021,85 min,Horror,,,4.2,448,tt10225926,,en,2021-05-17,0.0,0.0
Dream Horse,2020,21 May 2021,113 min,"Biography, Comedy, Drama",3 wins & 2 nominations,68.0,6.9,"5,964",tt9883996,"$2,913,328",en,2021-05-21,20000000.0,6435260.0
Blast Beat,2020,26 Jan 2020,105 min,Drama,1 win & 2 nominations,53.0,5.3,281,tt10767066,,en,2021-05-21,0.0,0.0
Blast Beat,2020,26 Jan 2020,105 min,Drama,1 win & 2 nominations,53.0,5.3,281,tt10767066,,fr,2018-10-07,0.0,0.0
A Quiet Place Part II,2020,28 May 2021,97 min,"Drama, Horror, Sci-Fi",Nominated for 1 BAFTA Award14 wins & 44 nominations total,71.0,7.2,"240,513",tt8332922,"$160,072,261",en,2021-05-21,61000000.0,297372261.0
Cruella,2021,28 May 2021,134 min,"Adventure, Comedy, Crime",Won 1 Oscar. 29 wins & 42 nominations total,59.0,7.3,"240,976",tt3228774,"$86,103,234",en,2021-05-26,200000000.0,233503234.0
Plan B,2009,06 May 2010,106 min,"Comedy, Drama, Romance",2 wins & 2 nominations,,7.0,"4,398",tt1408972,,en,2021-06-18,0.0,0.0
Plan B,2009,06 May 2010,106 min,"Comedy, Drama, Romance",2 wins & 2 nominations,,7.0,"4,398",tt1408972,,pl,2018-02-02,0.0,0.0
Plan B,2009,06 May 2010,106 min,"Comedy, Drama, Romance",2 wins & 2 nominations,,7.0,"4,398",tt1408972,,en,2019-02-14,0.0,0.0
Plan B,2009,06 May 2010,106 min,"Comedy, Drama, Romance",2 wins & 2 nominations,,7.0,"4,398",tt1408972,,en,2019-02-14,0.0,0.0
Changing the Game,2012,11 May 2012,104 min,"Action, Crime, Drama",,,4.0,531,tt1569931,,en,2019-04-26,0.0,0.0
Spirit Untamed,2021,04 Jun 2021,88 min,"Animation, Adventure, Comedy",1 win & 9 nominations,49.0,5.5,"4,027",tt11084896,"$17,716,215",en,2021-05-20,30000000.0,17635215.0
The Conjuring: The Devil Made Me Do It,2021,04 Jun 2021,112 min,"Horror, Mystery, Thriller",,53.0,6.3,"121,774",tt7069210,"$65,631,050",en,2021-05-25,39000000.0,206431050.0
Gully,2019,04 Jun 2021,84 min,"Crime, Drama",2 nominations,,2.7,"21,297",tt5013984,"$22,517",en,2021-06-04,0.0,0.0
Flashback,2020,04 Jun 2021,97 min,"Drama, Mystery, Thriller",3 nominations,49.0,5.3,"6,510",tt8372094,,en,2020-10-08,0.0,26747.0
Flashback,2020,04 Jun 2021,97 min,"Drama, Mystery, Thriller",3 nominations,49.0,5.3,"6,510",tt8372094,,fr,2021-11-11,0.0,0.0
Flashback,2020,04 Jun 2021,97 min,"Drama, Mystery, Thriller",3 nominations,49.0,5.3,"6,510",tt8372094,,fr,2019-05-09,0.0,0.0
Under the Stadium Lights,2021,04 Jun 2021,109 min,"Action, Drama, Sport",,31.0,3.9,432,tt6384920,,en,2021-06-04,0.0,0.0
Grace and Grit,2021,04 Jun 2021,111 min,"Biography, Drama, Romance",,,5.1,317,tt3910630,,en,2021-06-04,6000000.0,0.0
Awake,2007,30 Nov 2007,84 min,"Crime, Drama, Mystery",1 win & 3 nominations,33.0,6.5,"76,988",tt0211933,"$14,377,198",en,2021-06-09,0.0,0.0
Awake,2007,30 Nov 2007,84 min,"Crime, Drama, Mystery",1 win & 3 nominations,33.0,6.5,"76,988",tt0211933,"$14,377,198",en,2019-08-01,0.0,0.0
Awake,2007,30 Nov 2007,84 min,"Crime, Drama, Mystery",1 win & 3 nominations,33.0,6.5,"76,988",tt0211933,"$14,377,198",en,2019-05-09,0.0,0.0
