Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,original_language,release_date,budget,revenue
The Domestics,2018,29 Jun 2018,95 min,"Action, Horror, Sci-Fi",,,5.7,"10,216",tt5591666,,en,2018-06-28,0.0,0.0
Sicario: Day of the Soldado,2018,29 Jun 2018,122 min,"Action, Crime, Drama",1 win & 7 nominations,61.0,7.0,"154,216",tt5052474,"$50,072,235",en,2018-06-27,35000000.0,75836683.0
Leave No Trace,2018,29 Jun 2018,109 min,"Adventure, Drama",18 wins & 95 nominations,88.0,7.1,"61,771",tt3892172,"$6,046,104",en,2018-06-29,0.0,0.0
Leave No Trace,2018,29 Jun 2018,109 min,"Adventure, Drama",18 wins & 95 nominations,88.0,7.1,"61,771",tt3892172,"$6,046,104",en,2022-06-09,0.0,0.0
Uncle Drew,2018,29 Jun 2018,103 min,"Comedy, Sport",3 wins & 1 nomination,57.0,5.8,"15,023",tt7334528,"$42,469,946",en,2018-06-27,19000000.0,17665000.0
Woman Walks Ahead,2017,29 Jun 2018,101 min,"Biography, Drama, History",6 wins & 1 nomination,51.0,6.6,"7,667",tt5436228,"$57,528",en,2018-04-25,0.0,0.0
Overboard,1987,16 Dec 1987,112 min,"Comedy, Romance",3 nominations,53.0,6.9,"62,998",tt0093693,"$26,713,187",en,2018-04-13,12000000.0,91244913.0
Overboard,1987,16 Dec 1987,112 min,"Comedy, Romance",3 nominations,53.0,6.9,"62,998",tt0093693,"$26,713,187",it,2018-08-05,0.0,0.0
Tully,2018,04 May 2018,95 min,"Comedy, Drama, Mystery",3 wins & 28 nominations,75.0,6.9,"60,739",tt5610554,"$9,369,755",en,2018-05-04,0.0,15636462.0
Bad Samaritan,2018,04 May 2018,110 min,"Crime, Horror, Thriller",1 nomination,42.0,6.4,"24,594",tt3203528,"$3,435,047",en,2018-04-19,0.0,3435047.0
The Cleanse,2016,04 May 2018,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,en,2018-05-04,0.0,0.0
The Cleanse,2016,04 May 2018,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,en,2018-07-17,0.0,0.0
The Cleanse,2016,04 May 2018,81 min,"Comedy, Drama, Fantasy",6 wins & 4 nominations,58.0,5.1,"3,945",tt3734354,,en,2018-07-17,0.0,0.0
The Guardians,2017,23 Feb 2017,89 min,"Action, Adventure, Comedy",1 nomination,,4.0,"14,023",tt4600952,,en,2018-03-18,0.0,0.0
The Guardians,2017,23 Feb 2017,89 min,"Action, Adventure, Comedy",1 nomination,,4.0,"14,023",tt4600952,,en,2018-03-18,0.0,0.0
