Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Sorry to Bother You,2018,13 Jul 2018,112 min,"Comedy, Drama, Fantasy",19 wins & 57 nominations,80,6.9,"82,939",tt5688932,"$17,493,096",English
Hotel Transylvania 3: Summer Vacation,2018,13 Jul 2018,97 min,"Animation, Adventure, Comedy",2 wins & 9 nominations,54,6.3,"77,477",tt5220122,"$167,510,016","English, Spanish, German, Russian"
Skyscraper,2018,13 Jul 2018,102 min,"Action, Adventure, Thriller",4 nominations,51,5.8,"125,855",tt5758778,"$68,420,120","English, Cantonese, Mandarin"
Eighth Grade,2018,03 Aug 2018,93 min,"Comedy, Drama",60 wins & 94 nominations,89,7.4,"78,267",tt7014006,"$13,539,709",English
"Don't Worry, He Won't Get Far on Foot",2018,04 Apr 2018,114 min,"Biography, Comedy, Drama",5 nominations,67,6.8,"28,545",tt6288124,"$1,441,705",English
Shock and Awe,2017,20 Jul 2018,90 min,"Biography, Drama, History",N/A,47,6.4,"7,851",tt5540992,"$77,980",English
Mamma Mia! Here We Go Again,2018,20 Jul 2018,114 min,"Comedy, Musical, Romance",12 nominations,60,6.6,"99,310",tt6911608,"$120,634,935","English, French, Greek"
The Equalizer 2,2018,20 Jul 2018,121 min,"Action, Crime, Thriller",1 win & 4 nominations,50,6.7,"166,149",tt3766354,"$102,084,362","English, French, Turkish, Hebrew, Arabic, Spanish"
Blindspotting,2018,27 Jul 2018,95 min,"Comedy, Crime, Drama",5 wins & 23 nominations,77,7.4,"31,563",tt7242142,"$4,333,394",English
Unfriended: Dark Web,2018,20 Jul 2018,92 min,"Horror, Mystery, Thriller",N/A,53,6.0,"34,734",tt4761916,"$8,866,745","English, American Sign , Indonesian"
Mission: Impossible - Fallout,2018,27 Jul 2018,147 min,"Action, Adventure, Thriller",Nominated for 1 BAFTA Award25 wins & 41 nominations total,86,7.7,"341,519",tt4912910,"$220,159,104","English, French"
Teen Titans GO! To the Movies,2018,27 Jul 2018,84 min,"Animation, Action, Adventure",9 nominations,69,6.7,"20,291",tt7424200,"$29,790,236",English
Detective Dee: The Four Heavenly Kings,2018,27 Jul 2018,132 min,"Action, Adventure, Drama",1 win & 18 nominations,58,6.3,"2,843",tt6869538,"$262,963",Mandarin
Hot Summer Nights,2017,27 Jul 2018,107 min,"Crime, Drama, Romance",2 nominations,44,6.3,"20,557",tt3416536,N/A,English
Puzzle,2018,07 Sep 2018,103 min,Drama,2 wins & 2 nominations,66,6.7,"8,163",tt6933454,"$2,032,018",English
