Title,Year,Released,Runtime,Genre,Awards,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Language
Fatherhood,2021,18 Jun 2021,109 min,"Comedy, Drama",1 nomination,53,6.6,"39,758",tt4733624,N/A,English
The Birthday Cake,2021,18 Jun 2021,93 min,"Crime, Thriller",N/A,58,4.3,"1,684",tt10719958,N/A,English
Rita Moreno: Just a Girl Who Decided to Go for It,2021,18 Jun 2021,90 min,"Documentary, Biography",3 wins & 7 nominations,77,7.7,825,tt10741846,"$264,626","English, Spanish"
The Sparks Brothers,2021,18 Jun 2021,140 min,"Documentary, Biography, Comedy",5 wins & 25 nominations,80,7.8,"5,495",tt8610436,"$648,665",English
Truman,2015,07 Apr 2017,108 min,"Adventure, Comedy, Drama",30 wins & 33 nominations,81,7.3,"13,424",tt3754940,"$210,840","Spanish, English"
Stalker,1979,17 Apr 1980,162 min,"Drama, Sci-Fi",2 wins & 2 nominations,83,8.1,"137,433",tt0079944,"$292,049",Russian
Love Spreads,2021,18 Jun 2021,93 min,Comedy,N/A,N/A,3.6,181,tt11777510,N/A,English
A Crime on the Bayou,2020,18 Jun 2021,91 min,Documentary,2 nominations,81,6.5,96,tt10837932,N/A,English
Good on Paper,2021,23 Jun 2021,92 min,"Comedy, Romance",N/A,54,5.6,"12,956",tt8231668,N/A,English
F9: The Fast Saga,2021,25 Jun 2021,143 min,"Action, Crime, Thriller",2 wins & 12 nominations,58,5.2,"138,750",tt5433138,"$173,005,945",English
The Ice Road,2021,25 Jun 2021,109 min,"Action, Adventure, Thriller",2 nominations,42,5.6,"43,193",tt3758814,N/A,English
Werewolves Within,2021,02 Jul 2021,97 min,"Comedy, Horror, Mystery",2 wins & 3 nominations,66,6.0,"21,482",tt9288692,"$575,783",English
False Positive,2021,25 Jun 2021,92 min,"Horror, Mystery, Thriller",N/A,54,4.7,"6,481",tt10096842,N/A,English
Lansky,2021,25 Jun 2021,119 min,"Biography, Crime, Drama",N/A,45,6.2,"8,497",tt5078852,"$61,030","English, Hebrew"
I Carry You with Me,2020,08 Jul 2021,111 min,Drama,5 wins & 25 nominations,76,6.7,"1,302",tt11388990,"$166,403","Spanish, English"
Mary J Blige's My Life,2021,25 Jun 2021,82 min,Documentary,3 nominations,56,6.6,603,tt11383348,N/A,English
Fathom,1967,09 Aug 1967,99 min,"Adventure, Comedy",N/A,N/A,5.7,"1,704",tt0061653,N/A,English
Rollers,2021,25 Jun 2021,N/A,Comedy,N/A,N/A,N/A,48,tt9124868,N/A,English
America: The Motion Picture,2021,30 Jun 2021,98 min,"Animation, Action, Adventure",N/A,38,5.6,"6,837",tt6733874,N/A,English
Zola,2020,30 Jun 2021,86 min,"Comedy, Crime, Drama",8 wins & 37 nominations,76,6.5,"15,452",tt5439812,"$4,844,399",English
No Sudden Move,2021,01 Jul 2021,115 min,"Crime, Drama, Mystery",N/A,76,6.4,"37,183",tt11525644,N/A,English
The Tomorrow War,2021,02 Jul 2021,138 min,"Action, Adventure, Drama",8 nominations,45,6.5,"211,583",tt9777666,N/A,English
The Forever Purge,2021,02 Jul 2021,103 min,"Action, Crime, Horror",1 win,53,5.4,"36,790",tt10327252,"$44,539,245","English, Spanish"
Fear Street: Part One - 1994,2021,02 Jul 2021,107 min,"Drama, Horror, Mystery",2 wins & 1 nomination,67,6.2,"84,897",tt6566576,N/A,English
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)",2021,02 Jul 2021,118 min,"Documentary, Music",Won 1 Oscar. 71 wins & 44 nominations total,96,8.0,"12,654",tt11422728,"$2,320,649",English
Till Death,2021,02 Jul 2021,88 min,Thriller,N/A,66,5.8,"23,409",tt11804152,N/A,English
Let Us In,2021,02 Jul 2021,84 min,"Horror, Sci-Fi",N/A,56,4.4,627,tt10533804,N/A,English
Black Widow,2021,09 Jul 2021,134 min,"Action, Adventure, Sci-Fi",12 wins & 34 nominations,68,6.7,"391,279",tt3480822,"$183,651,655","English, Russian, Norwegian, Hungarian, Macedonian, Finnish"
Fear Street: Part Two - 1978,2021,09 Jul 2021,109 min,"Drama, Horror, Mystery",1 win & 2 nominations,61,6.7,"67,914",tt9701940,N/A,English
Summertime,1955,07 Nov 1955,100 min,"Comedy, Drama, Romance",Nominated for 2 Oscars. 2 wins & 5 nominations total,N/A,7.1,"9,210",tt0048673,N/A,"English, Italian"
Gunpowder Milkshake,2021,14 Jul 2021,114 min,"Action, Crime, Thriller",4 nominations,47,6.0,"46,876",tt8368408,N/A,"English, Russian"
Space Jam: A New Legacy,2021,15 Jul 2021,115 min,"Animation, Adventure, Comedy",7 wins & 5 nominations,36,4.5,"74,610",tt3554046,"$70,592,228",English
Escape Room: Tournament of Champions,2021,16 Jul 2021,88 min,"Action, Adventure, Horror",N/A,48,5.7,"48,892",tt9844522,"$25,314,753","English, Ukrainian"
Fear Street: Part Three - 1666,2021,16 Jul 2021,114 min,"Horror, Mystery",1 win & 1 nomination,68,6.6,"56,279",tt9701942,N/A,English
Die in a Gunfight,2021,16 Jul 2021,92 min,"Action, Comedy, Crime",N/A,23,4.4,"3,058",tt1697800,N/A,"English, Latin, French"
Pig,2021,16 Jul 2021,92 min,"Drama, Mystery",37 wins & 72 nominations,82,6.9,"79,600",tt11003218,"$3,186,668","English, Persian"
Out of Death,2021,16 Jul 2021,96 min,"Crime, Thriller",1 nomination,N/A,3.3,"5,243",tt12528166,N/A,English
Roadrunner: A Film About Anthony Bourdain,2021,16 Jul 2021,119 min,Documentary,3 wins & 5 nominations,N/A,7.7,"8,198",tt14512538,"$5,354,970",English
How It Ends,2018,13 Jul 2018,113 min,"Action, Drama, Horror",5 nominations,36,5.0,"55,180",tt5246700,N/A,English
Trollhunters: Rise of the Titans,2021,21 Jul 2021,104 min,"Animation, Action, Adventure",4 nominations,N/A,6.6,"5,382",tt12851396,N/A,"English, Mandarin, Portuguese"
Snake Eyes,1998,07 Aug 1998,98 min,"Crime, Mystery, Thriller",1 win & 4 nominations,52,6.1,"83,714",tt0120832,"$55,591,409",English
Old,2021,23 Jul 2021,108 min,"Drama, Horror, Mystery",1 win & 7 nominations,55,5.8,"130,704",tt10954652,"$48,276,510",English
Joe Bell,2020,23 Jul 2021,94 min,"Biography, Drama",N/A,54,6.2,"8,186",tt4651466,"$1,405,488",English
Jolt,2021,23 Jul 2021,91 min,"Action, Comedy, Crime",1 win,48,5.6,"32,755",tt10228134,N/A,English
Midnight in the Switchgrass,2021,23 Jul 2021,99 min,"Action, Crime, Thriller",2 nominations,24,4.5,"8,658",tt11656220,N/A,English
Broken Diamonds,2021,23 Jul 2021,90 min,Drama,1 win & 1 nomination,34,5.6,292,tt6484398,N/A,English
Val,2021,06 Aug 2021,109 min,"Documentary, Biography",3 wins & 23 nominations,73,7.6,"13,303",tt14731254,N/A,English
Ailey,2021,23 Jul 2021,95 min,"Documentary, Biography, History",5 nominations,77,6.7,274,tt13622084,"$204,513",English
Jungle Cruise,2021,30 Jul 2021,127 min,"Action, Adventure, Comedy",5 wins & 9 nominations,50,6.6,"196,819",tt0870154,"$116,987,516","English, German, Spanish, Tupi, Italian, Portuguese, Latin, French"
Vivo,2021,06 Aug 2021,95 min,"Animation, Adventure, Comedy",1 win & 17 nominations,66,6.7,"19,908",tt6338498,N/A,"English, Spanish"
Stillwater,2021,30 Jul 2021,139 min,"Crime, Drama, Thriller",2 nominations,60,6.6,"45,973",tt10696896,"$14,465,535","English, French"
The Green Knight,2021,30 Jul 2021,130 min,"Adventure, Drama, Fantasy",22 wins & 115 nominations,85,6.6,"104,917",tt9243804,"$17,173,321","Latin, English"
Nine Days,2020,30 Jul 2021,124 min,"Drama, Fantasy",5 wins & 22 nominations,72,6.8,"9,305",tt10451852,"$694,849",English
Ride the Eagle,2021,30 Jul 2021,88 min,"Comedy, Drama",N/A,54,6.3,"3,273",tt14673560,N/A,English
The Evening Hour,2020,13 Jul 2021,114 min,Drama,3 nominations,47,5.4,313,tt5554356,N/A,English
Lorelei,2020,30 Jul 2021,111 min,Drama,5 wins & 13 nominations,71,6.4,"2,096",tt6461318,"$12,642",N/A
Enemies of the State,2020,30 Jul 2021,103 min,Documentary,3 nominations,74,6.0,706,tt10388028,"$8,495",English
The Suicide Squad,2021,05 Aug 2021,132 min,"Action, Adventure, Comedy",4 wins & 41 nominations,72,7.2,"363,738",tt6334354,"$55,817,425",English
Naked Singularity,2021,13 Aug 2021,93 min,"Comedy, Crime, Drama",2 wins,36,4.8,"2,654",tt9598214,"$3,050",English
John and the Hole,2021,06 Aug 2021,103 min,"Drama, Horror, Thriller",3 wins & 7 nominations,61,5.2,"3,504",tt11307724,"$25,386",English
Playing God,1997,17 Oct 1997,94 min,"Crime, Drama, Thriller",N/A,N/A,5.6,"7,779",tt0119906,"$4,166,918","English, Russian"
Swan Song,2021,17 Dec 2021,116 min,"Drama, Romance, Sci-Fi",Nominated for 1 BAFTA Award2 wins & 11 nominations total,66,6.8,"15,238",tt13207508,N/A,English
She Ball,2020,09 May 2022,97 min,"Comedy, Drama, Sport",4 nominations,N/A,3.2,415,tt7768784,N/A,English
The Kissing Booth 3,2021,11 Aug 2021,112 min,"Comedy, Romance",N/A,36,4.8,"18,424",tt12783454,N/A,English
Homeroom,2021,12 Aug 2021,90 min,Documentary,2 wins & 4 nominations,68,5.7,266,tt13622168,N/A,English
Free Guy,2021,13 Aug 2021,115 min,"Action, Adventure, Comedy",Nominated for 1 Oscar. 5 wins & 29 nominations total,62,7.1,"382,310",tt6264654,"$121,626,598","English, Japanese, German"
Respect,2021,13 Aug 2021,145 min,"Biography, Drama, Music",3 wins & 40 nominations,61,6.6,"16,012",tt2452150,"$24,278,399",English
Beckett,2021,13 Aug 2021,110 min,"Action, Crime, Drama",1 nomination,52,5.7,"27,020",tt10230994,N/A,"English, Greek"
Don't Breathe 2,2021,13 Aug 2021,98 min,"Action, Crime, Horror",1 nomination,46,6.0,"61,405",tt6246322,"$32,712,950",English
CODA,2021,13 Aug 2021,111 min,"Comedy, Drama, Music",Won 3 Oscars. 65 wins & 140 nominations total,72,8.0,"143,193",tt10366460,N/A,"American Sign , English"
